x,y,rho
0.89258,0.041016,0.464601
0.90039,0.041016,0.44557
0.9082,0.041016,0.427002
0.91602,0.041016,0.408932
0.92383,0.041016,0.391401
0.93164,0.041016,0.374395
0.93945,0.041016,0.358246
0.94727,0.041016,0.343531
0.95508,0.041016,0.331322
0.96289,0.041016,0.321662
0.9707,0.041016,0.314642
0.97852,0.041016,0.307961
0.98633,0.041016,0.303369
0.99414,0.041016,0.311581
0.0019531,0.048828,1
0.0097656,0.048828,1
0.017578,0.048828,1
0.025391,0.048828,1
0.033203,0.048828,1
0.041016,0.048828,1
0.048828,0.048828,1
0.056641,0.048828,1
0.064453,0.048828,1
0.072266,0.048828,1
0.080078,0.048828,1
0.087891,0.048828,1
0.095703,0.048828,1
0.10352,0.048828,1
0.11133,0.048828,1
0.11914,0.048828,1
0.12695,0.048828,1
0.13477,0.048828,1
0.14258,0.048828,1
0.15039,0.048828,1
0.1582,0.048828,1
0.16602,0.048828,1
0.17383,0.048828,1
0.18164,0.048828,1
0.18945,0.048828,1
0.19727,0.048828,1
0.20508,0.048828,1
0.21289,0.048828,1
0.2207,0.048828,1
0.22852,0.048828,1
0.23633,0.048828,1
0.24414,0.048828,1
0.25195,0.048828,1
0.25977,0.048828,1
0.26758,0.048828,1
0.27539,0.048828,1
0.2832,0.048828,1
0.29102,0.048828,1
0.29883,0.048828,1
0.30664,0.048828,1
0.31445,0.048828,1
0.32227,0.048828,1
0.33008,0.048828,1
0.33789,0.048828,1
0.3457,0.048828,1
0.35352,0.048828,1
0.36133,0.048828,1
0.36914,0.048828,1
0.37695,0.048828,1
0.38477,0.048828,1
0.39258,0.048828,1
0.40039,0.048828,1
0.4082,0.048828,1
0.41602,0.048828,1
0.42383,0.048828,1
0.43164,0.048828,1
0.43945,0.048828,1
0.44727,0.048828,1
0.45508,0.048828,1
0.46289,0.048828,1
0.4707,0.048828,1
0.47852,0.048828,1
0.48633,0.048828,1
0.49414,0.048828,1
0.50195,0.048828,1
0.50977,0.048828,1
0.51758,0.048828,1
0.52539,0.048828,1
0.5332,0.048828,1
0.54102,0.048828,1
0.54883,0.048828,1
0.55664,0.048828,1
0.56445,0.048828,1
0.57227,0.048828,1
0.58008,0.048828,1
0.58789,0.048828,1
0.5957,0.048828,1
0.60352,0.048828,1
0.61133,0.048828,1
0.61914,0.048828,1
0.62695,0.048828,1
0.63477,0.048828,1
0.64258,0.048828,1
0.65039,0.048828,1
0.6582,0.048828,1
0.66602,0.048828,1
0.67383,0.048828,0.999999
0.68164,0.048828,0.999951
0.68945,0.048828,0.997158
0.69727,0.048828,0.98447
0.70508,0.048828,0.965482
0.71289,0.048828,0.94393
0.7207,0.048828,0.921559
0.72852,0.048828,0.89905
0.73633,0.048828,0.876673
0.74414,0.048828,0.854556
0.75195,0.048828,0.83276
0.75977,0.048828,0.811308
0.76758,0.048828,0.790258
0.77539,0.048828,0.769744
0.7832,0.048828,0.749514
0.79102,0.048828,0.728809
0.79883,0.048828,0.707197
0.80664,0.048828,0.684949
0.81445,0.048828,0.662557
0.82227,0.048828,0.640324
0.83008,0.048828,0.618373
0.83789,0.048828,0.596747
0.8457,0.048828,0.57543
0.85352,0.048828,0.554426
0.86133,0.048828,0.53378
0.86914,0.048828,0.51351
0.87695,0.048828,0.493619
0.88477,0.048828,0.474104
0.89258,0.048828,0.454998
0.90039,0.048828,0.436334
0.9082,0.048828,0.418112
0.91602,0.048828,0.400347
0.92383,0.048828,0.383164
0.93164,0.048828,0.366844
0.93945,0.048828,0.352189
0.94727,0.048828,0.340402
0.95508,0.048828,0.331696
0.96289,0.048828,0.325629
0.9707,0.048828,0.319062
0.97852,0.048828,0.311676
0.98633,0.048828,0.310227
0.99414,0.048828,0.320631
0.0019531,0.056641,1
0.0097656,0.056641,1
0.017578,0.056641,1
0.025391,0.056641,1
0.033203,0.056641,1
0.041016,0.056641,1
0.048828,0.056641,1
0.056641,0.056641,1
0.064453,0.056641,1
0.072266,0.056641,1
0.080078,0.056641,1
0.087891,0.056641,1
0.095703,0.056641,1
0.10352,0.056641,1
0.11133,0.056641,1
0.11914,0.056641,1
0.12695,0.056641,1
0.13477,0.056641,1
0.14258,0.056641,1
0.15039,0.056641,1
0.1582,0.056641,1
0.16602,0.056641,1
0.17383,0.056641,1
0.18164,0.056641,1
0.18945,0.056641,1
0.19727,0.056641,1
0.20508,0.056641,1
0.21289,0.056641,1
0.2207,0.056641,1
0.22852,0.056641,1
0.23633,0.056641,1
0.24414,0.056641,1
0.25195,0.056641,1
0.25977,0.056641,1
0.26758,0.056641,1
0.27539,0.056641,1
0.2832,0.056641,1
0.29102,0.056641,1
0.29883,0.056641,1
0.30664,0.056641,1
0.31445,0.056641,1
